PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,1,100,50,stag,NA
10000000,1E-10,1,100,100,astral-multi,0.030928
10000000,1E-10,1,100,100,astral-multi-w-true,0.030928
10000000,1E-10,1,100,100,apro,0.041237
10000000,1E-10,1,100,100,apro-w-true,0.041237
10000000,1E-10,1,100,100,apro-v2,0.041237
10000000,1E-10,1,100,100,duptree,0.030928
10000000,1E-10,1,100,100,mulrf,0.020619
10000000,1E-10,1,100,100,stag,0.247423
10000000,1E-10,1,100,500,astral-multi,0.010309
10000000,1E-10,1,100,500,astral-multi-w-true,0.010309
10000000,1E-10,1,100,500,apro,0.010309
10000000,1E-10,1,100,500,apro-w-true,0.010309
10000000,1E-10,1,100,500,apro-v2,0.010309
10000000,1E-10,1,100,500,duptree,0.010309
10000000,1E-10,1,100,500,mulrf,0.010309
10000000,1E-10,1,100,500,stag,0.092784
10000000,1E-10,1,250,25,astral-multi,0.020619
10000000,1E-10,1,250,25,astral-multi-w-true,0.020619
10000000,1E-10,1,250,25,apro,0.010309
10000000,1E-10,1,250,25,apro-w-true,0.010309
10000000,1E-10,1,250,25,apro-v2,0.010309
10000000,1E-10,1,250,25,duptree,0.020619
10000000,1E-10,1,250,25,mulrf,0.030928
10000000,1E-10,1,250,25,stag,NA
10000000,1E-10,1,250,50,astral-multi,0.020619
10000000,1E-10,1,250,50,astral-multi-w-true,0.010309
10000000,1E-10,1,250,50,apro,0.020619
10000000,1E-10,1,250,50,apro-w-true,0.020619
10000000,1E-10,1,250,50,apro-v2,0.020619
10000000,1E-10,1,250,50,duptree,0.020619
10000000,1E-10,1,250,50,mulrf,0.010309
10000000,1E-10,1,250,50,stag,NA
10000000,1E-10,1,250,100,astral-multi,0.010309
10000000,1E-10,1,250,100,astral-multi-w-true,0.010309
10000000,1E-10,1,250,100,apro,0.010309
10000000,1E-10,1,250,100,apro-w-true,0.010309
10000000,1E-10,1,250,100,apro-v2,0.010309
10000000,1E-10,1,250,100,duptree,0.020619
10000000,1E-10,1,250,100,mulrf,0
10000000,1E-10,1,250,100,stag,0.175258
10000000,1E-10,1,250,500,astral-multi,0
10000000,1E-10,1,250,500,astral-multi-w-true,0
10000000,1E-10,1,250,500,apro,0
10000000,1E-10,1,250,500,apro-w-true,0
10000000,1E-10,1,250,500,apro-v2,0
10000000,1E-10,1,250,500,duptree,0
10000000,1E-10,1,250,500,mulrf,0
10000000,1E-10,1,250,500,stag,0.113402
